Ready Processes,Processes in CPU,Blocked processes,Completed processes,Accounted For, Number of CPUs,Exiting at simulation time
58, 2, 0, 14,74, 2, 10000
54, 2, 0, 7,63, 2, 10000
49, 2, 0, 9,60, 2, 10000
48, 2, 0, 16,66, 2, 10000
48, 2, 0, 23,73, 2, 10000
53, 2, 0, 22,77, 2, 10000
41, 2, 0, 13,56, 2, 10000
29, 2, 0, 12,43, 2, 10000
49, 2, 0, 11,62, 2, 10000
48, 2, 0, 12,62, 2, 10000
46, 2, 0, 6,54, 2, 10000
45, 2, 0, 13,60, 2, 10000
41, 2, 0, 14,57, 2, 10000
52, 2, 0, 14,68, 2, 10000
47, 2, 0, 11,60, 2, 10000
55, 2, 0, 19,76, 2, 10000
41, 2, 0, 19,62, 2, 10000
56, 2, 0, 11,69, 2, 10000
42, 2, 0, 9,53, 2, 10000
52, 2, 0, 7,61, 2, 10000
42, 2, 0, 16,60, 2, 10000
38, 2, 0, 10,50, 2, 10000
43, 2, 0, 16,61, 2, 10000
36, 2, 0, 9,47, 2, 10000
50, 2, 0, 16,68, 2, 10000
45, 2, 0, 10,57, 2, 10000
43, 2, 0, 17,62, 2, 10000
44, 2, 0, 8,54, 2, 10000
43, 2, 0, 15,60, 2, 10000
47, 2, 0, 18,67, 2, 10000
37, 2, 0, 15,54, 2, 10000
46, 2, 0, 15,63, 2, 10000
44, 2, 0, 13,59, 2, 10000
45, 2, 0, 14,61, 2, 10000
42, 2, 0, 7,51, 2, 10000
53, 2, 0, 9,64, 2, 10000
46, 2, 0, 11,59, 2, 10000
45, 2, 0, 17,64, 2, 10000
51, 2, 0, 14,67, 2, 10000
48, 2, 0, 15,65, 2, 10000
51, 2, 0, 17,70, 2, 10000
48, 2, 0, 11,61, 2, 10000
37, 2, 0, 9,48, 2, 10000
46, 2, 0, 14,62, 2, 10000
51, 2, 0, 17,70, 2, 10000
53, 2, 0, 17,72, 2, 10000
47, 2, 0, 14,63, 2, 10000
48, 2, 0, 11,61, 2, 10000
37, 2, 0, 7,46, 2, 10000
48, 2, 0, 10,60, 2, 10000
53, 2, 0, 14,69, 2, 10000
38, 2, 0, 15,55, 2, 10000
50, 2, 0, 12,64, 2, 10000
56, 2, 0, 17,75, 2, 10000
33, 2, 0, 9,44, 2, 10000
44, 2, 0, 9,55, 2, 10000
38, 2, 0, 10,50, 2, 10000
49, 2, 0, 16,67, 2, 10000
45, 2, 0, 18,65, 2, 10000
46, 2, 0, 16,64, 2, 10000
53, 2, 0, 17,72, 2, 10000
49, 2, 0, 15,66, 2, 10000
58, 2, 0, 14,74, 2, 10000
41, 2, 0, 13,56, 2, 10000
30, 2, 0, 8,40, 2, 10000
43, 2, 0, 15,60, 2, 10000
46, 2, 0, 18,66, 2, 10000
46, 2, 0, 13,61, 2, 10000
40, 2, 0, 17,59, 2, 10000
37, 2, 0, 14,53, 2, 10000
59, 2, 0, 12,73, 2, 10000
42, 2, 0, 12,56, 2, 10000
34, 2, 0, 14,50, 2, 10000
42, 2, 0, 12,56, 2, 10000
45, 2, 0, 7,54, 2, 10000
41, 2, 0, 16,59, 2, 10000
43, 2, 0, 13,58, 2, 10000
42, 2, 0, 15,59, 2, 10000
48, 2, 0, 14,64, 2, 10000
43, 2, 0, 16,61, 2, 10000
53, 2, 0, 14,69, 2, 10000
51, 2, 0, 8,61, 2, 10000
39, 2, 0, 16,57, 2, 10000
44, 2, 0, 14,60, 2, 10000
44, 2, 0, 17,63, 2, 10000
32, 2, 0, 13,47, 2, 10000
42, 2, 0, 17,61, 2, 10000
39, 2, 0, 12,53, 2, 10000
40, 2, 0, 8,50, 2, 10000
39, 2, 0, 11,52, 2, 10000
51, 2, 0, 13,66, 2, 10000
44, 2, 0, 9,55, 2, 10000
38, 2, 0, 5,45, 2, 10000
42, 2, 0, 8,52, 2, 10000
58, 2, 0, 16,76, 2, 10000
43, 2, 0, 14,59, 2, 10000
52, 2, 0, 13,67, 2, 10000
41, 2, 0, 14,57, 2, 10000
40, 2, 0, 10,52, 2, 10000
42, 2, 0, 11,55, 2, 10000
36, 2, 0, 16,54, 2, 10000
48, 2, 0, 12,62, 2, 10000
48, 2, 0, 8,58, 2, 10000
46, 2, 0, 8,56, 2, 10000
52, 2, 0, 12,66, 2, 10000
46, 2, 0, 15,63, 2, 10000
51, 2, 0, 15,68, 2, 10000
36, 2, 0, 8,46, 2, 10000
56, 2, 0, 12,70, 2, 10000
36, 2, 0, 12,50, 2, 10000
52, 2, 0, 5,59, 2, 10000
37, 2, 0, 11,50, 2, 10000
42, 2, 0, 9,53, 2, 10000
38, 2, 0, 10,50, 2, 10000
43, 2, 0, 11,56, 2, 10000
44, 2, 0, 14,60, 2, 10000
34, 2, 0, 10,46, 2, 10000
37, 2, 0, 10,49, 2, 10000
37, 2, 0, 15,54, 2, 10000
40, 2, 0, 12,54, 2, 10000
47, 2, 0, 7,56, 2, 10000
39, 2, 0, 9,50, 2, 10000
46, 2, 0, 14,62, 2, 10000
42, 2, 0, 8,52, 2, 10000
41, 2, 0, 9,52, 2, 10000
48, 2, 0, 10,60, 2, 10000
35, 2, 0, 7,44, 2, 10000
45, 2, 0, 17,64, 2, 10000
36, 2, 0, 13,51, 2, 10000
53, 2, 0, 6,61, 2, 10000
49, 2, 0, 7,58, 2, 10000
46, 2, 0, 13,61, 2, 10000
45, 2, 0, 9,56, 2, 10000
48, 2, 0, 13,63, 2, 10000
39, 2, 0, 24,65, 2, 10000
39, 2, 0, 16,57, 2, 10000
33, 2, 0, 12,47, 2, 10000
41, 2, 0, 8,51, 2, 10000
31, 2, 0, 15,48, 2, 10000
38, 2, 0, 7,47, 2, 10000
34, 2, 0, 9,45, 2, 10000
38, 2, 0, 26,66, 2, 10000
25, 2, 0, 11,38, 2, 10000
52, 2, 0, 14,68, 2, 10000
42, 2, 0, 16,60, 2, 10000
48, 2, 0, 13,63, 2, 10000
43, 2, 0, 6,51, 2, 10000
49, 2, 0, 10,61, 2, 10000
47, 2, 0, 9,58, 2, 10000
42, 2, 0, 13,57, 2, 10000
45, 2, 0, 9,56, 2, 10000
36, 2, 0, 14,52, 2, 10000
32, 2, 0, 10,44, 2, 10000
58, 2, 0, 12,72, 2, 10000
46, 2, 0, 12,60, 2, 10000
45, 2, 0, 9,56, 2, 10000
53, 2, 0, 17,72, 2, 10000
37, 2, 0, 14,53, 2, 10000
49, 2, 0, 16,67, 2, 10000
42, 2, 0, 14,58, 2, 10000
46, 2, 0, 14,62, 2, 10000
42, 2, 0, 9,53, 2, 10000
31, 2, 0, 14,47, 2, 10000
48, 2, 0, 7,57, 2, 10000
41, 2, 0, 13,56, 2, 10000
43, 2, 0, 11,56, 2, 10000
34, 2, 0, 14,50, 2, 10000
40, 2, 0, 16,58, 2, 10000
36, 2, 0, 10,48, 2, 10000
51, 2, 0, 10,63, 2, 10000
31, 2, 0, 7,40, 2, 10000
36, 2, 0, 8,46, 2, 10000
42, 2, 0, 9,53, 2, 10000
45, 2, 0, 13,60, 2, 10000
48, 2, 0, 10,60, 2, 10000
39, 2, 0, 8,49, 2, 10000
38, 2, 0, 10,50, 2, 10000
38, 2, 0, 17,57, 2, 10000
33, 2, 0, 9,44, 2, 10000
48, 2, 0, 8,58, 2, 10000
32, 2, 0, 13,47, 2, 10000
45, 2, 0, 8,55, 2, 10000
39, 2, 0, 10,51, 2, 10000
30, 2, 0, 10,42, 2, 10000
38, 2, 0, 8,48, 2, 10000
39, 2, 0, 12,53, 2, 10000
53, 2, 0, 8,63, 2, 10000
33, 2, 0, 17,52, 2, 10000
37, 2, 0, 16,55, 2, 10000
45, 2, 0, 14,61, 2, 10000
40, 2, 0, 11,53, 2, 10000
33, 2, 0, 11,46, 2, 10000
44, 2, 0, 10,56, 2, 10000
41, 2, 0, 11,54, 2, 10000
34, 2, 0, 13,49, 2, 10000
33, 2, 0, 15,50, 2, 10000
43, 2, 0, 13,58, 2, 10000
34, 2, 0, 14,50, 2, 10000
42, 2, 0, 17,61, 2, 10000
34, 2, 0, 11,47, 2, 10000
37, 2, 0, 9,48, 2, 10000
35, 2, 0, 12,49, 2, 10000
44, 2, 0, 14,60, 2, 10000
41, 2, 0, 7,50, 2, 10000
42, 2, 0, 10,54, 2, 10000
49, 2, 0, 12,63, 2, 10000
25, 2, 0, 7,34, 2, 10000
39, 2, 0, 7,48, 2, 10000
44, 2, 0, 5,51, 2, 10000
42, 2, 0, 14,58, 2, 10000
41, 2, 0, 11,54, 2, 10000
35, 2, 0, 10,47, 2, 10000
39, 2, 0, 9,50, 2, 10000
41, 2, 0, 8,51, 2, 10000
39, 2, 0, 12,53, 2, 10000
40, 2, 0, 9,51, 2, 10000
35, 2, 0, 9,46, 2, 10000
51, 2, 0, 16,69, 2, 10000
35, 2, 0, 4,41, 2, 10000
49, 2, 0, 6,57, 2, 10000
43, 2, 0, 13,58, 2, 10000
33, 2, 0, 15,50, 2, 10000
32, 2, 0, 10,44, 2, 10000
38, 2, 0, 10,50, 2, 10000
41, 2, 0, 13,56, 2, 10000
31, 2, 0, 10,43, 2, 10000
42, 2, 0, 12,56, 2, 10000
40, 2, 0, 13,55, 2, 10000
38, 2, 0, 11,51, 2, 10000
41, 2, 0, 8,51, 2, 10000
31, 2, 0, 13,46, 2, 10000
47, 2, 0, 10,59, 2, 10000
42, 2, 0, 12,56, 2, 10000
40, 2, 0, 7,49, 2, 10000
54, 2, 0, 8,64, 2, 10000
34, 2, 0, 9,45, 2, 10000
46, 2, 0, 15,63, 2, 10000
39, 2, 0, 11,52, 2, 10000
40, 2, 0, 8,50, 2, 10000
42, 2, 0, 12,56, 2, 10000
46, 2, 0, 15,63, 2, 10000
42, 2, 0, 13,57, 2, 10000
35, 2, 0, 12,49, 2, 10000
32, 2, 0, 15,49, 2, 10000
38, 2, 0, 16,56, 2, 10000
33, 2, 0, 8,43, 2, 10000
44, 2, 0, 9,55, 2, 10000
43, 2, 0, 10,55, 2, 10000
42, 2, 0, 16,60, 2, 10000
27, 2, 0, 6,35, 2, 10000
44, 2, 0, 8,54, 2, 10000
33, 2, 0, 7,42, 2, 10000
40, 2, 0, 14,56, 2, 10000
38, 2, 0, 17,57, 2, 10000
27, 2, 0, 12,41, 2, 10000
43, 2, 0, 11,56, 2, 10000
44, 2, 0, 16,62, 2, 10000
26, 2, 0, 12,40, 2, 10000
33, 2, 0, 6,41, 2, 10000
38, 2, 0, 9,49, 2, 10000
34, 2, 0, 13,49, 2, 10000
42, 2, 0, 19,63, 2, 10000
32, 2, 0, 12,46, 2, 10000
45, 2, 0, 12,59, 2, 10000
42, 2, 0, 12,56, 2, 10000
45, 2, 0, 11,58, 2, 10000
33, 2, 0, 12,47, 2, 10000
33, 2, 0, 10,45, 2, 10000
35, 2, 0, 15,52, 2, 10000
39, 2, 0, 11,52, 2, 10000
26, 2, 0, 6,34, 2, 10000
37, 2, 0, 16,55, 2, 10000
46, 2, 0, 4,52, 2, 10000
37, 2, 0, 10,49, 2, 10000
38, 2, 0, 12,52, 2, 10000
41, 2, 0, 17,60, 2, 10000
44, 2, 0, 11,57, 2, 10000
41, 2, 0, 9,52, 2, 10000
47, 2, 0, 22,71, 2, 10000
44, 2, 0, 14,60, 2, 10000
31, 2, 0, 11,44, 2, 10000
52, 2, 0, 11,65, 2, 10000
48, 2, 0, 9,59, 2, 10000
32, 2, 0, 9,43, 2, 10000
48, 2, 0, 10,60, 2, 10000
38, 2, 0, 10,50, 2, 10000
41, 2, 0, 11,54, 2, 10000
44, 2, 0, 8,54, 2, 10000
43, 2, 0, 13,58, 2, 10000
36, 2, 0, 8,46, 2, 10000
54, 2, 0, 11,67, 2, 10000
46, 2, 0, 17,65, 2, 10000
19, 2, 0, 7,28, 2, 10000
46, 2, 0, 13,61, 2, 10000
36, 2, 0, 9,47, 2, 10000
33, 2, 0, 13,48, 2, 10000
35, 2, 0, 7,44, 2, 10000
30, 2, 0, 16,48, 2, 10000
34, 2, 0, 11,47, 2, 10000
32, 2, 0, 13,47, 2, 10000
24, 2, 0, 14,40, 2, 10000
31, 2, 0, 12,45, 2, 10000
43, 2, 0, 17,62, 2, 10000
46, 2, 0, 7,55, 2, 10000
39, 2, 0, 17,58, 2, 10000
46, 2, 0, 8,56, 2, 10000
41, 2, 0, 13,56, 2, 10000
43, 2, 0, 11,56, 2, 10000
41, 2, 0, 8,51, 2, 10000
44, 2, 0, 11,57, 2, 10000
47, 2, 0, 10,59, 2, 10000
37, 2, 0, 9,48, 2, 10000
33, 2, 0, 9,44, 2, 10000
41, 2, 0, 12,55, 2, 10000
32, 2, 0, 11,45, 2, 10000
38, 2, 0, 6,46, 2, 10000
46, 2, 0, 9,57, 2, 10000
37, 2, 0, 6,45, 2, 10000
37, 2, 0, 12,51, 2, 10000
44, 2, 0, 4,50, 2, 10000
34, 2, 0, 8,44, 2, 10000
36, 2, 0, 11,49, 2, 10000
43, 2, 0, 9,54, 2, 10000
29, 2, 0, 14,45, 2, 10000
36, 2, 0, 14,52, 2, 10000
33, 2, 0, 15,50, 2, 10000
30, 2, 0, 16,48, 2, 10000
42, 2, 0, 11,55, 2, 10000
32, 2, 0, 12,46, 2, 10000
39, 2, 0, 6,47, 2, 10000
47, 2, 0, 15,64, 2, 10000
31, 2, 0, 5,38, 2, 10000
32, 2, 0, 11,45, 2, 10000
39, 2, 0, 9,50, 2, 10000
33, 2, 0, 16,51, 2, 10000
30, 2, 0, 9,41, 2, 10000
47, 2, 0, 19,68, 2, 10000
34, 2, 0, 9,45, 2, 10000
26, 2, 0, 11,39, 2, 10000
38, 2, 0, 15,55, 2, 10000
32, 2, 0, 11,45, 2, 10000
38, 2, 0, 12,52, 2, 10000
38, 2, 0, 15,55, 2, 10000
32, 2, 0, 11,45, 2, 10000
41, 2, 0, 7,50, 2, 10000
37, 2, 0, 10,49, 2, 10000
37, 2, 0, 5,44, 2, 10000
53, 2, 0, 9,64, 2, 10000
32, 2, 0, 11,45, 2, 10000
39, 2, 0, 11,52, 2, 10000
34, 2, 0, 5,41, 2, 10000
47, 2, 0, 14,63, 2, 10000
43, 2, 0, 6,51, 2, 10000
36, 2, 0, 15,53, 2, 10000
35, 2, 0, 17,54, 2, 10000
33, 2, 0, 11,46, 2, 10000
42, 2, 0, 17,61, 2, 10000
35, 2, 0, 10,47, 2, 10000
29, 2, 0, 10,41, 2, 10000
38, 2, 0, 17,57, 2, 10000
41, 2, 0, 13,56, 2, 10000
40, 2, 0, 6,48, 2, 10000
30, 2, 0, 11,43, 2, 10000
36, 2, 0, 9,47, 2, 10000
40, 2, 0, 14,56, 2, 10000
45, 2, 0, 8,55, 2, 10000
42, 2, 0, 2,46, 2, 10000
36, 2, 0, 13,51, 2, 10000
44, 2, 0, 8,54, 2, 10000
33, 2, 0, 11,46, 2, 10000
43, 2, 0, 6,51, 2, 10000
38, 2, 0, 15,55, 2, 10000
42, 2, 0, 9,53, 2, 10000
34, 2, 0, 13,49, 2, 10000
40, 2, 0, 14,56, 2, 10000
33, 2, 0, 19,54, 2, 10000
40, 2, 0, 13,55, 2, 10000
37, 2, 0, 10,49, 2, 10000
35, 2, 0, 10,47, 2, 10000
34, 2, 0, 14,50, 2, 10000
31, 2, 0, 12,45, 2, 10000
31, 2, 0, 9,42, 2, 10000
51, 2, 0, 11,64, 2, 10000
24, 2, 0, 7,33, 2, 10000
33, 2, 0, 7,42, 2, 10000
36, 2, 0, 11,49, 2, 10000
38, 2, 0, 8,48, 2, 10000
29, 2, 0, 14,45, 2, 10000
36, 2, 0, 16,54, 2, 10000
26, 2, 0, 12,40, 2, 10000
42, 2, 0, 14,58, 2, 10000
40, 2, 0, 10,52, 2, 10000
33, 2, 0, 14,49, 2, 10000
33, 2, 0, 10,45, 2, 10000
33, 2, 0, 13,48, 2, 10000
38, 2, 0, 15,55, 2, 10000
32, 2, 0, 9,43, 2, 10000
39, 2, 0, 11,52, 2, 10000
38, 2, 0, 15,55, 2, 10000
43, 2, 0, 13,58, 2, 10000
30, 2, 0, 8,40, 2, 10000
28, 2, 0, 13,43, 2, 10000
37, 2, 0, 9,48, 2, 10000
37, 2, 0, 17,56, 2, 10000
35, 2, 0, 12,49, 2, 10000
41, 2, 0, 8,51, 2, 10000
27, 2, 0, 12,41, 2, 10000
32, 2, 0, 15,49, 2, 10000
41, 2, 0, 9,52, 2, 10000
45, 2, 0, 13,60, 2, 10000
32, 2, 0, 12,46, 2, 10000
37, 2, 0, 13,52, 2, 10000
34, 2, 0, 14,50, 2, 10000
38, 2, 0, 10,50, 2, 10000
39, 2, 0, 11,52, 2, 10000
49, 2, 0, 14,65, 2, 10000
50, 2, 0, 13,65, 2, 10000
32, 2, 0, 14,48, 2, 10000
46, 2, 0, 15,63, 2, 10000
30, 2, 0, 9,41, 2, 10000
24, 2, 0, 9,35, 2, 10000
35, 2, 0, 7,44, 2, 10000
42, 2, 0, 10,54, 2, 10000
32, 2, 0, 7,41, 2, 10000
32, 2, 0, 9,43, 2, 10000
48, 2, 0, 10,60, 2, 10000
23, 2, 0, 12,37, 2, 10000
35, 2, 0, 10,47, 2, 10000
33, 2, 0, 8,43, 2, 10000
36, 2, 0, 12,50, 2, 10000
39, 2, 0, 7,48, 2, 10000
39, 2, 0, 11,52, 2, 10000
31, 2, 0, 7,40, 2, 10000
44, 2, 0, 10,56, 2, 10000
28, 2, 0, 7,37, 2, 10000
32, 2, 0, 16,50, 2, 10000
31, 2, 0, 10,43, 2, 10000
36, 2, 0, 11,49, 2, 10000
34, 2, 0, 8,44, 2, 10000
27, 2, 0, 11,40, 2, 10000
27, 2, 0, 9,38, 2, 10000
39, 2, 0, 10,51, 2, 10000
21, 2, 0, 10,33, 2, 10000
40, 2, 0, 10,52, 2, 10000
27, 2, 0, 11,40, 2, 10000
29, 2, 0, 13,44, 2, 10000
30, 2, 0, 14,46, 2, 10000
34, 2, 0, 10,46, 2, 10000
34, 2, 0, 6,42, 2, 10000
37, 2, 0, 10,49, 2, 10000
42, 2, 0, 10,54, 2, 10000
31, 2, 0, 9,42, 2, 10000
27, 2, 0, 8,37, 2, 10000
32, 2, 0, 10,44, 2, 10000
34, 2, 0, 11,47, 2, 10000
41, 2, 0, 13,56, 2, 10000
30, 2, 0, 9,41, 2, 10000
36, 2, 0, 11,49, 2, 10000
50, 2, 0, 8,60, 2, 10000
30, 2, 0, 13,45, 2, 10000
36, 2, 0, 15,53, 2, 10000
29, 2, 0, 11,42, 2, 10000
41, 2, 0, 6,49, 2, 10000
29, 2, 0, 7,38, 2, 10000
30, 2, 0, 10,42, 2, 10000
35, 2, 0, 8,45, 2, 10000
30, 2, 0, 14,46, 2, 10000
29, 2, 0, 6,37, 2, 10000
41, 2, 0, 7,50, 2, 10000
39, 2, 0, 11,52, 2, 10000
30, 2, 0, 7,39, 2, 10000
29, 2, 0, 7,38, 2, 10000
39, 2, 0, 13,54, 2, 10000
42, 2, 0, 13,57, 2, 10000
44, 2, 0, 6,52, 2, 10000
37, 2, 0, 11,50, 2, 10000
22, 2, 0, 10,34, 2, 10000
39, 2, 0, 12,53, 2, 10000
30, 2, 0, 8,40, 2, 10000
37, 2, 0, 8,47, 2, 10000
47, 2, 0, 10,59, 2, 10000
31, 2, 0, 13,46, 2, 10000
38, 2, 0, 9,49, 2, 10000
34, 2, 0, 10,46, 2, 10000
47, 2, 0, 8,57, 2, 10000
26, 2, 0, 9,37, 2, 10000
26, 2, 0, 14,42, 2, 10000
36, 2, 0, 8,46, 2, 10000
20, 2, 0, 15,37, 2, 10000
41, 2, 0, 11,54, 2, 10000
38, 2, 0, 6,46, 2, 10000
31, 2, 0, 9,42, 2, 10000
42, 2, 0, 9,53, 2, 10000
36, 2, 0, 14,52, 2, 10000
32, 2, 0, 6,40, 2, 10000
39, 2, 0, 10,51, 2, 10000
36, 2, 0, 11,49, 2, 10000
34, 2, 0, 12,48, 2, 10000
36, 2, 0, 12,50, 2, 10000
31, 2, 0, 8,41, 2, 10000
38, 2, 0, 7,47, 2, 10000
41, 2, 0, 8,51, 2, 10000
37, 2, 0, 8,47, 2, 10000
29, 2, 0, 11,42, 2, 10000
42, 2, 0, 4,48, 2, 10000
24, 2, 0, 7,33, 2, 10000
38, 2, 0, 4,44, 2, 10000
32, 2, 0, 7,41, 2, 10000
48, 2, 0, 8,58, 2, 10000
33, 2, 0, 6,41, 2, 10000
41, 2, 0, 13,56, 2, 10000
34, 2, 0, 6,42, 2, 10000
18, 2, 0, 10,30, 2, 10000
40, 2, 0, 9,51, 2, 10000
36, 2, 0, 9,47, 2, 10000
32, 2, 0, 10,44, 2, 10000
42, 2, 0, 11,55, 2, 10000
34, 2, 0, 13,49, 2, 10000
36, 2, 0, 6,44, 2, 10000
33, 2, 0, 13,48, 2, 10000
47, 2, 0, 8,57, 2, 10000
47, 2, 0, 16,65, 2, 10000
39, 2, 0, 6,47, 2, 10000
33, 2, 0, 9,44, 2, 10000
36, 2, 0, 10,48, 2, 10000
27, 2, 0, 9,38, 2, 10000
30, 2, 0, 20,52, 2, 10000
34, 2, 0, 12,48, 2, 10000
31, 2, 0, 12,45, 2, 10000
44, 2, 0, 10,56, 2, 10000
40, 2, 0, 6,48, 2, 10000
32, 2, 0, 14,48, 2, 10000
27, 2, 0, 18,47, 2, 10000
31, 2, 0, 13,46, 2, 10000
28, 2, 0, 8,38, 2, 10000
31, 2, 0, 17,50, 2, 10000
36, 2, 0, 13,51, 2, 10000
22, 2, 0, 11,35, 2, 10000
38, 2, 0, 6,46, 2, 10000
30, 2, 0, 16,48, 2, 10000
33, 2, 0, 16,51, 2, 10000
42, 2, 0, 10,54, 2, 10000
27, 2, 0, 7,36, 2, 10000
30, 2, 0, 8,40, 2, 10000
41, 2, 0, 10,53, 2, 10000
42, 2, 0, 9,53, 2, 10000
36, 2, 0, 12,50, 2, 10000
27, 2, 0, 11,40, 2, 10000
23, 2, 0, 13,38, 2, 10000
24, 2, 0, 11,37, 2, 10000
37, 2, 0, 8,47, 2, 10000
45, 2, 0, 9,56, 2, 10000
26, 2, 0, 8,36, 2, 10000
27, 2, 0, 5,34, 2, 10000
44, 2, 0, 17,63, 2, 10000
28, 2, 0, 15,45, 2, 10000
26, 2, 0, 11,39, 2, 10000
28, 2, 0, 10,40, 2, 10000
35, 2, 0, 9,46, 2, 10000
39, 2, 0, 6,47, 2, 10000
34, 2, 0, 10,46, 2, 10000
36, 2, 0, 13,51, 2, 10000
29, 2, 0, 11,42, 2, 10000
36, 2, 0, 12,50, 2, 10000
31, 2, 0, 11,44, 2, 10000
40, 2, 0, 19,61, 2, 10000
32, 2, 0, 4,38, 2, 10000
31, 2, 0, 18,51, 2, 10000
29, 2, 0, 12,43, 2, 10000
42, 2, 0, 11,55, 2, 10000
26, 2, 0, 7,35, 2, 10000
36, 2, 0, 11,49, 2, 10000
45, 2, 0, 7,54, 2, 10000
30, 2, 0, 9,41, 2, 10000
22, 2, 0, 7,31, 2, 10000
32, 2, 0, 9,43, 2, 10000
36, 2, 0, 16,54, 2, 10000
24, 2, 0, 12,38, 2, 10000
45, 2, 0, 6,53, 2, 10000
29, 2, 0, 6,37, 2, 10000
30, 2, 0, 17,49, 2, 10000
36, 2, 0, 4,42, 2, 10000
33, 2, 0, 10,45, 2, 10000
33, 2, 0, 12,47, 2, 10000
32, 2, 0, 8,42, 2, 10000
33, 2, 0, 8,43, 2, 10000
28, 2, 0, 7,37, 2, 10000
41, 2, 0, 11,54, 2, 10000
33, 2, 0, 14,49, 2, 10000
28, 2, 0, 8,38, 2, 10000
37, 2, 0, 10,49, 2, 10000
42, 2, 0, 8,52, 2, 10000
33, 2, 0, 10,45, 2, 10000
33, 2, 0, 15,50, 2, 10000
32, 2, 0, 13,47, 2, 10000
35, 2, 0, 6,43, 2, 10000
30, 2, 0, 9,41, 2, 10000
30, 2, 0, 10,42, 2, 10000
31, 2, 0, 9,42, 2, 10000
31, 2, 0, 5,38, 2, 10000
27, 2, 0, 9,38, 2, 10000
35, 2, 0, 7,44, 2, 10000
33, 2, 0, 6,41, 2, 10000
42, 2, 0, 12,56, 2, 10000
32, 2, 0, 9,43, 2, 10000
40, 2, 0, 7,49, 2, 10000
24, 2, 0, 11,37, 2, 10000
23, 2, 0, 7,32, 2, 10000
28, 2, 0, 10,40, 2, 10000
33, 2, 0, 6,41, 2, 10000
41, 2, 0, 8,51, 2, 10000
30, 2, 0, 9,41, 2, 10000
28, 2, 0, 7,37, 2, 10000
37, 2, 0, 9,48, 2, 10000
42, 2, 0, 8,52, 2, 10000
37, 2, 0, 9,48, 2, 10000
37, 2, 0, 14,53, 2, 10000
17, 2, 0, 9,28, 2, 10000
39, 2, 0, 14,55, 2, 10000
39, 2, 0, 12,53, 2, 10000
36, 2, 0, 9,47, 2, 10000
23, 2, 0, 12,37, 2, 10000
40, 2, 0, 7,49, 2, 10000
33, 2, 0, 7,42, 2, 10000
24, 2, 0, 7,33, 2, 10000
24, 2, 0, 7,33, 2, 10000
35, 2, 0, 12,49, 2, 10000
31, 2, 0, 17,50, 2, 10000
29, 2, 0, 11,42, 2, 10000
30, 2, 0, 12,44, 2, 10000
32, 2, 0, 13,47, 2, 10000
21, 2, 0, 8,31, 2, 10000
36, 2, 0, 10,48, 2, 10000
39, 2, 0, 12,53, 2, 10000
27, 2, 0, 8,37, 2, 10000
37, 2, 0, 6,45, 2, 10000
33, 2, 0, 12,47, 2, 10000
27, 2, 0, 9,38, 2, 10000
32, 2, 0, 12,46, 2, 10000
24, 2, 0, 9,35, 2, 10000
36, 2, 0, 8,46, 2, 10000
45, 2, 0, 10,57, 2, 10000
23, 2, 0, 8,33, 2, 10000
31, 2, 0, 6,39, 2, 10000
36, 2, 0, 7,45, 2, 10000
29, 2, 0, 12,43, 2, 10000
37, 2, 0, 10,49, 2, 10000
38, 2, 0, 7,47, 2, 10000
37, 2, 0, 6,45, 2, 10000
29, 2, 0, 6,37, 2, 10000
33, 2, 0, 6,41, 2, 10000
24, 2, 0, 13,39, 2, 10000
30, 2, 0, 13,45, 2, 10000
30, 2, 0, 5,37, 2, 10000
23, 2, 0, 10,35, 2, 10000
33, 2, 0, 10,45, 2, 10000
42, 2, 0, 6,50, 2, 10000
38, 2, 0, 11,51, 2, 10000
29, 2, 0, 8,39, 2, 10000
30, 2, 0, 7,39, 2, 10000
31, 2, 0, 15,48, 2, 10000
33, 2, 0, 4,39, 2, 10000
32, 2, 0, 10,44, 2, 10000
42, 2, 0, 9,53, 2, 10000
33, 2, 0, 4,39, 2, 10000
25, 2, 0, 10,37, 2, 10000
38, 2, 0, 15,55, 2, 10000
28, 2, 0, 10,40, 2, 10000
37, 2, 0, 7,46, 2, 10000
27, 2, 0, 7,36, 2, 10000
31, 2, 0, 9,42, 2, 10000
33, 2, 0, 9,44, 2, 10000
35, 2, 0, 13,50, 2, 10000
19, 2, 0, 7,28, 2, 10000
34, 2, 0, 6,42, 2, 10000
35, 2, 0, 14,51, 2, 10000
29, 2, 0, 10,41, 2, 10000
32, 2, 0, 6,40, 2, 10000
36, 2, 0, 9,47, 2, 10000
23, 2, 0, 11,36, 2, 10000
33, 2, 0, 9,44, 2, 10000
35, 2, 0, 7,44, 2, 10000
26, 2, 0, 4,32, 2, 10000
32, 2, 0, 8,42, 2, 10000
21, 2, 0, 16,39, 2, 10000
43, 2, 0, 9,54, 2, 10000
26, 2, 0, 6,34, 2, 10000
31, 2, 0, 13,46, 2, 10000
27, 2, 0, 12,41, 2, 10000
21, 2, 0, 8,31, 2, 10000
28, 2, 0, 8,38, 2, 10000
23, 2, 0, 6,31, 2, 10000
37, 2, 0, 8,47, 2, 10000
28, 2, 0, 11,41, 2, 10000
38, 2, 0, 8,48, 2, 10000
31, 2, 0, 6,39, 2, 10000
37, 2, 0, 10,49, 2, 10000
