Ready Processes,Processes in CPU,Blocked processes,Completed processes,Accounted For, Number of CPUs,Exiting at simulation time
536, 2, 0, 122,660, 2, 10000
560, 2, 0, 123,685, 2, 10000
523, 2, 0, 137,662, 2, 10000
508, 2, 0, 150,660, 2, 10000
511, 2, 0, 115,628, 2, 10000
522, 2, 0, 105,629, 2, 10000
488, 2, 0, 119,609, 2, 10000
508, 2, 0, 132,642, 2, 10000
508, 2, 0, 98,608, 2, 10000
462, 2, 0, 105,569, 2, 10000
528, 2, 0, 133,663, 2, 10000
505, 2, 0, 137,644, 2, 10000
493, 2, 0, 121,616, 2, 10000
474, 2, 0, 124,600, 2, 10000
495, 2, 0, 114,611, 2, 10000
460, 2, 0, 101,563, 2, 10000
428, 2, 0, 122,552, 2, 10000
484, 2, 0, 133,619, 2, 10000
470, 2, 0, 129,601, 2, 10000
441, 2, 0, 125,568, 2, 10000
483, 2, 0, 119,604, 2, 10000
454, 2, 0, 133,589, 2, 10000
435, 2, 0, 112,549, 2, 10000
456, 2, 0, 109,567, 2, 10000
446, 2, 0, 99,547, 2, 10000
441, 2, 0, 82,525, 2, 10000
466, 2, 0, 107,575, 2, 10000
429, 2, 0, 108,539, 2, 10000
458, 2, 0, 116,576, 2, 10000
409, 2, 0, 111,522, 2, 10000
425, 2, 0, 110,537, 2, 10000
428, 2, 0, 132,562, 2, 10000
410, 2, 0, 125,537, 2, 10000
439, 2, 0, 112,553, 2, 10000
408, 2, 0, 95,505, 2, 10000
419, 2, 0, 111,532, 2, 10000
387, 2, 0, 137,526, 2, 10000
413, 2, 0, 92,507, 2, 10000
394, 2, 0, 111,507, 2, 10000
414, 2, 0, 107,523, 2, 10000
408, 2, 0, 103,513, 2, 10000
402, 2, 0, 97,501, 2, 10000
370, 2, 0, 120,492, 2, 10000
412, 2, 0, 118,532, 2, 10000
428, 2, 0, 104,534, 2, 10000
385, 2, 0, 102,489, 2, 10000
402, 2, 0, 93,497, 2, 10000
372, 2, 0, 93,467, 2, 10000
387, 2, 0, 102,491, 2, 10000
410, 2, 0, 91,503, 2, 10000
378, 2, 0, 98,478, 2, 10000
411, 2, 0, 108,521, 2, 10000
351, 2, 0, 96,449, 2, 10000
357, 2, 0, 91,450, 2, 10000
345, 2, 0, 91,438, 2, 10000
406, 2, 0, 103,511, 2, 10000
368, 2, 0, 98,468, 2, 10000
373, 2, 0, 103,478, 2, 10000
385, 2, 0, 105,492, 2, 10000
387, 2, 0, 87,476, 2, 10000
365, 2, 0, 95,462, 2, 10000
355, 2, 0, 109,466, 2, 10000
343, 2, 0, 104,449, 2, 10000
