Ready Processes, Batch Chance, Avg Total Processes
9988,1,10000
4955,2,4989
3303,3,3350
2454,4,2511
1932,5,1998
1609,6,1675
1363,7,1428
1185,8,1249
1052,9,1117
935,10,1001
843,11,904
774,12,835
708,13,762
656,14,707
616,15,668
568,16,617
534,17,581
512,18,557
476,19,523
458,20,499
