Ready Processes,Processes in CPU,Blocked processes,Completed processes,Accounted For, Number of CPUs,Exiting at simulation time,TurnaroundTime
1145, 4, 0, 62,1211, 4, 10000,152043,500,62,10000,152043
1112, 4, 0, 59,1175, 4, 10000,145973,500,59,10000,145973
1107, 4, 0, 45,1156, 4, 10000,109608,500,45,10000,109608
1047, 4, 0, 58,1109, 4, 10000,147291,500,58,10000,147291
1060, 4, 0, 56,1120, 4, 10000,122576,500,56,10000,122576
1061, 4, 0, 64,1129, 4, 10000,144749,500,64,10000,144749
996, 4, 0, 61,1061, 4, 10000,145894,500,61,10000,145894
1088, 4, 0, 64,1156, 4, 10000,147536,500,64,10000,147536
1051, 4, 0, 65,1120, 4, 10000,141323,500,65,10000,141323
1044, 4, 0, 75,1123, 4, 10000,178001,500,75,10000,178001
1054, 4, 0, 54,1112, 4, 10000,129348,500,54,10000,129348
1018, 4, 0, 70,1092, 4, 10000,166949,500,70,10000,166949
957, 4, 0, 70,1031, 4, 10000,146803,500,70,10000,146803
917, 4, 0, 73,994, 4, 10000,183183,500,73,10000,183183
963, 4, 0, 48,1015, 4, 10000,128614,500,48,10000,128614
916, 4, 0, 60,980, 4, 10000,132200,500,60,10000,132200
928, 4, 0, 77,1009, 4, 10000,183576,500,77,10000,183576
893, 4, 0, 54,951, 4, 10000,128308,500,54,10000,128308
931, 4, 0, 76,1011, 4, 10000,154109,500,76,10000,154109
1014, 4, 0, 55,1073, 4, 10000,145327,500,55,10000,145327
926, 4, 0, 47,977, 4, 10000,94249,500,47,10000,94249
912, 4, 0, 53,969, 4, 10000,119925,500,53,10000,119925
893, 4, 0, 44,941, 4, 10000,103325,500,44,10000,103325
820, 4, 0, 66,890, 4, 10000,128050,500,66,10000,128050
901, 4, 0, 60,965, 4, 10000,134212,500,60,10000,134212
837, 4, 0, 52,893, 4, 10000,111797,500,52,10000,111797
815, 4, 0, 48,867, 4, 10000,108535,500,48,10000,108535
841, 4, 0, 53,898, 4, 10000,88409,500,53,10000,88409
830, 4, 0, 51,885, 4, 10000,111007,500,51,10000,111007
823, 4, 0, 65,892, 4, 10000,139243,500,65,10000,139243
882, 4, 0, 72,958, 4, 10000,170950,500,72,10000,170950
797, 4, 0, 54,855, 4, 10000,90787,500,54,10000,90787
744, 4, 0, 61,809, 4, 10000,113943,500,61,10000,113943
776, 4, 0, 59,839, 4, 10000,125041,500,59,10000,125041
807, 4, 0, 55,866, 4, 10000,103735,500,55,10000,103735
771, 4, 0, 57,832, 4, 10000,130635,500,57,10000,130635
788, 4, 0, 66,858, 4, 10000,112023,500,66,10000,112023
772, 4, 0, 47,823, 4, 10000,94305,500,47,10000,94305
815, 4, 0, 52,871, 4, 10000,101116,500,52,10000,101116
770, 4, 0, 54,828, 4, 10000,110040,500,54,10000,110040
725, 4, 0, 51,780, 4, 10000,98450,500,51,10000,98450
781, 4, 0, 59,844, 4, 10000,100989,500,59,10000,100989
685, 4, 0, 43,732, 4, 10000,79684,500,43,10000,79684
722, 4, 0, 56,782, 4, 10000,112602,500,56,10000,112602
717, 4, 0, 58,779, 4, 10000,117984,500,58,10000,117984
712, 4, 0, 43,759, 4, 10000,82675,500,43,10000,82675
740, 4, 0, 55,799, 4, 10000,94043,500,55,10000,94043
726, 4, 0, 42,772, 4, 10000,84232,500,42,10000,84232
673, 4, 0, 46,723, 4, 10000,86280,500,46,10000,86280
710, 4, 0, 50,764, 4, 10000,90578,500,50,10000,90578
687, 4, 0, 52,743, 4, 10000,95317,500,52,10000,95317
715, 4, 0, 53,772, 4, 10000,92522,500,53,10000,92522
689, 4, 0, 49,742, 4, 10000,108756,500,49,10000,108756
649, 4, 0, 46,699, 4, 10000,69141,500,46,10000,69141
665, 4, 0, 41,710, 4, 10000,69468,500,41,10000,69468
655, 4, 0, 47,706, 4, 10000,87195,500,47,10000,87195
668, 4, 0, 60,732, 4, 10000,112979,500,60,10000,112979
643, 4, 0, 42,689, 4, 10000,68217,500,42,10000,68217
608, 4, 0, 47,659, 4, 10000,88345,500,47,10000,88345
648, 4, 0, 45,697, 4, 10000,77557,500,45,10000,77557
